Rk,Player,Debut,Age,Yrs,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,ID,Height,Weight,Wingspan,Standing Reach,Hand Length,Hand Width,Standing Vertical,Vertical Leap,LANE,SHUTTLE,SPRINT,BENCH,BAR,PAN,PBHGT,PDHGT
19,Brandon Clarke,Oct 23 '19 MEM @ MIA,23,7,20.75,4.34,7.18,0.17,0.62,1.33,1.91,1.81,5.47,1.33,0.72,0.80,0.72,1.93,10.17,clarkbr01,79.25,207.2,80.25,102,8.25,9.5,34,40.5,10.61,3.05,3.15,10,101.30%,7840.00%,136,142.5
9,Brian Bowen,Nov 12 '19 IND vs. OKC,21,2,3.83,0.33,1.17,0.00,0.25,0.08,0.08,0.08,0.83,0.00,0.00,0.08,0.08,0.33,0.75,bowenbr02,78.25,200,82,103,8.5,9.8,32,35.5,10.98,3.21,3.26,1,104.80%,8290.00%,135,138.5
30,Bruno Fernando,Oct 24 '19 ATL @ DET,21,6,10.57,1.60,2.94,0.03,0.22,0.75,1.14,1.07,3.24,0.73,0.26,0.46,0.73,1.65,3.96,fernabr01,80.75,237,87.25,110,9.25,10,29.5,33.5,11.29,3.05,3.21,13,108.00%,9250.00%,139.5,143.5
53,Cameron Johnson,Oct 26 '19 PHO vs. LAC,23,7,26.85,4.41,9.71,2.29,5.79,1.70,2.00,0.78,3.92,1.98,0.82,0.31,0.92,1.75,12.81,johnsca02,79,205.2,82,103,8,8.5,30.5,36.5,10.52,3.28,3.26,NA,103.80%,6800.00%,133.5,139.5
28,Carsen Edwards,Oct 23 '19 BOS @ PHI,21,3,9.81,1.36,3.74,0.64,2.15,0.35,0.46,0.15,1.10,0.72,0.29,0.07,0.38,0.88,3.71,edwarca01,70.75,199.4,78,94.5,8.75,9,28.5,34,10.53,2.82,3.22,14,110.20%,7880.00%,123,128.5
65,Cody Martin,Oct 25 '19 CHO vs. MIN,24,7,21.80,2.32,5.34,0.64,2.09,0.81,1.22,0.96,3.71,2.21,0.99,0.40,0.94,1.55,6.08,martico01,76.75,192.2,82.25,102.5,8.25,9,28,35.5,10.44,2.99,3.32,7,107.20%,7430.00%,130.5,138
33,Daniel Gafford,Oct 26 '19 CHI vs. TOR,21,7,19.96,3.77,5.37,0.00,0.00,1.59,2.34,2.15,5.71,1.04,0.53,1.53,0.99,2.48,9.14,gaffoda01,81.25,237.6,86.25,110,9.25,9.3,32.5,36.5,11.61,3.19,3.25,5,106.20%,8560.00%,142.5,146.5
4,Darius Bazley,Oct 23 '19 OKC @ UTA,19,5,23.36,3.26,7.89,0.99,3.19,1.41,2.08,0.82,5.25,1.19,0.58,0.75,1.23,0.97,8.92,bazleda01,79.75,208.4,84,107,9,9.8,30.5,37,11.09,2.95,3.27,4,105.30%,8780.00%,137.5,144
43,Dewan Hernandez,Nov 18 '19 TOR vs. CHO,23,1,4.67,0.83,2.33,0.17,0.33,0.50,0.83,0.83,2.33,0.50,0.17,0.00,0.50,1.00,2.33,hernade01,81,232.8,85.75,107,9.5,10.3,30.5,35.5,11.46,3.25,3.28,13,105.90%,9740.00%,137.5,142.5
85,Eric Paschall,Oct 24 '19 GSW vs. LAC,23,3,19.53,3.67,7.42,0.60,1.84,1.88,2.48,0.89,3.22,1.35,0.34,0.16,1.04,1.54,9.82,pascher01,78,254.4,83.75,103.5,9,9.5,33,38,11.63,3.26,3.3,18,107.40%,8550.00%,136.5,141.5
115,Grant Williams,Oct 23 '19 BOS @ PHI,21,7,22.78,2.47,5.51,1.17,3.14,1.04,1.34,0.96,3.68,1.46,0.53,0.52,1.01,2.52,7.14,willigr01,77.75,240.2,81.75,104.5,9,10.5,26,31.5,10.83,3.27,3.33,20,105.10%,9450.00%,130.5,136
