Rk,Player,Debut,Age,Yrs,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,ID,Height,Weight,Wingspan,Standing Reach,Hand Length,Hand Width,Standing Vertical,Vertical Leap,LANE,SHUTTLE,SPRINT,BENCH,BAR,PAN,PBHGT,PDHGT
4,Emoni Bates,Oct 28 '23 CLE vs. IND,20,1,8.9,1.00,3.27,0.67,2.20,0.07,0.27,0.07,0.93,0.67,0.07,0.13,0.53,0.33,2.73,batesem01,80.3,179.2,81,105,8,8.3,27,33,12,NA,3,NA,100.90%,66,132,138
44,GG Jackson II,Oct 30 '23 MEM vs. DAL,19,1,25.7,5.02,11.73,2.13,5.96,2.40,3.19,1.10,4.08,1.23,0.58,0.50,1.35,1.33,14.56,jacksgg01,80.3,214.4,83.5,106,8.5,10,31,37,11.39,NA,3,NA,104.00%,85,137,143
22,Gradey Dick,Oct 25 '23 TOR vs. MIN,20,1,21.1,3.15,7.42,1.47,4.02,0.73,0.85,0.45,2.20,1.13,0.57,0.03,0.83,1.45,8.50,dickgr01,78.3,204,80.8,101,8.25,9,29,34,11.13,3,4,NA,103.20%,74.3,130,135
101,Isaiah Wong,Dec 9 '23 IND @ LAL,23,1,4.0,1.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,wongis01,74.5,178.4,78.8,97.5,8.25,9.5,32.5,37,10.93,NA,3.22,NA,105.70%,78.4,130,134.5
46,Jaime Jaquez Jr.,Oct 25 '23 MIA vs. DET,22,1,28.2,4.55,9.29,0.87,2.69,1.89,2.33,1.09,3.80,2.60,1.03,0.27,1.47,2.23,11.85,jaqueja01,78,226.4,81.5,99.5,8.5,9.5,35,39,11.21,NA,3,NA,104.50%,80.8,134.5,138.5
69,Jalen Pickett,Oct 24 '23 DEN vs. LAL,24,1,4.5,0.56,1.30,0.33,0.93,0.11,0.15,0.04,0.52,0.78,0.15,0.00,0.33,0.48,1.56,pickeja02,74,197.8,79.3,98.5,8.5,7.5,28.5,33,11.91,3.41,3.35,NA,107.10%,63.8,127,131.5
82,Jalen Slawson,Nov 15 '23 SAC @ LAL,24,1,3.1,0.33,0.50,0.00,0.17,0.00,0.00,0.08,0.58,0.17,0.08,0.08,0.17,0.67,0.67,slawsja01,78.5,221.6,83.8,106,9,9,29,33,11.26,NA,3.29,NA,106.70%,81,135,139
100,Jalen Wilson,Nov 1 '23 BRK @ MIA,23,1,15.4,1.77,4.16,0.56,1.72,0.88,1.07,1.09,3.05,1.05,0.26,0.09,0.44,1.12,4.98,wilsoja03,77.5,230.2,80,99.5,8.25,9,31.5,35,11.26,3.15,3.2,NA,103.20%,74.3,131,134.5
94,Jarace Walker,Oct 25 '23 IND vs. WAS,20,1,10.3,1.36,3.33,0.67,1.67,0.24,0.27,0.36,1.91,1.21,0.45,0.33,0.52,0.88,3.64,walkeja02,78.5,248.6,86.5,104.5,9,10,34.5,38,10.89,NA,3.2,NA,110.20%,90,139,142.5
58,Jordan Miller,Oct 25 '23 LAC vs. POR,24,1,3.5,0.63,1.13,0.13,0.25,0.25,0.25,0.38,0.63,0.00,0.00,0.00,0.13,0.25,1.63,millejo02,76.5,191.6,83.8,103.5,8.5,9.3,32,36.5,11.43,3.21,3.17,NA,109.50%,78.6,135.5,140
