Rk,YEAR,Player,POS,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,ID,Height,Weight,Wingspan,Standing Reach,HANDL,HANDW,Standing Vertical,Leaping Vertical,LANE,SHUTTLE,SPRINT,BENCH,BAR,PAN,PBHGT,PDHGT
57,2020,Corey Kispert,SF,Oct 22 '21 WAS vs. IND,22,1,77,23.39,3.04,6.68,1.45,4.16,0.70,0.81,0.69,2.71,1.10,0.45,0.29,0.65,1.21,8.23,kispeco01,78,223.8,79,102,8.75,10,30,37.5,10.91,2.99,3.12,NA,101.30%,87.5,132,139.5
78,2021,Daishen Nix,PG,Nov 29 '21 HOU vs. OKC,19,1,24,10.88,1.13,2.79,0.29,1.08,0.67,1.25,0.29,1.38,1.67,0.63,0.00,1.08,0.88,3.21,nixda01,75,225.6,78.75,100,8.5,9,29.5,36.5,11.72,3.18,3,NA,105.00%,76.5,129.5,136.5
55,2022,Dalton Knecht,SF,Oct 22 '24 LAL vs. MIN,23,1,78,19.15,3.29,7.14,1.64,4.36,0.82,1.08,0.47,2.77,0.85,0.31,0.10,0.47,1.19,9.05,knechda01,77.3,212.2,81,103.5,8.5,9.5,31,39,10.56,2.79,3.07,NA,104.90%,80.8,134.5,142.5
27,2020,David Duke Jr.,SG,Dec 8 '21 BRK @ HOU,22,1,22,15.50,1.77,4.91,0.41,1.68,0.77,0.95,1.36,3.05,0.77,0.64,0.32,0.41,1.64,4.73,dukeda01,76.25,203.6,80.75,102.5,8.5,9,30,39,11.21,3.19,3.08,NA,105.90%,76.5,132.5,141.5
49,2019,David Johnson,SG,Oct 27 '21 TOR vs. IND,20,1,2,1.00,0.00,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,johnsda08,75.25,202.8,82.5,104,8.25,8.5,33,39,12.02,3.2,3.03,NA,109.60%,70.1,137,143
64,2023,David Roddy,PF,Oct 19 '22 MEM vs. NYK,21,1,70,17.97,2.57,6.00,0.93,3.03,0.59,0.93,0.71,2.76,0.84,0.41,0.27,0.81,1.53,6.66,roddyda01,76.5,260.8,83.5,105,8.75,10,27,35.5,10.75,3.1,3.22,NA,109.20%,87.5,132,140.5
70,2019,De'Anthony Melton,SG-PG,Oct 22 '18 PHO @ GSW,20,1,50,19.68,2.00,5.12,0.58,1.90,0.42,0.56,0.50,2.68,3.18,1.36,0.46,1.50,2.26,5.00,meltode01,74.25,193.2,80.5,99.5,8.5,9.5,31,36.5,11.48,3.33,3.23,1,108.40%,80.8,130.5,136
66,2018,Dereon Seabron,SG,Oct 28 '22 NOP @ PHO,22,1,5,2.40,0.40,1.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.20,0.80,seabrde01,76.75,182.4,80.75,103.5,8.5,9.5,30.5,38,11.03,3.04,3.12,NA,105.20%,80.8,134,141.5
12,2020,Devin Carter,SG,Jan 3 '25 SAC vs. MEM,22,1,36,11.00,1.31,3.53,0.50,1.69,0.72,1.22,0.53,2.11,1.14,0.58,0.11,0.50,1.08,3.83,cartede02,74.3,193,80.8,98,9,9,35,42,10.63,3,3,NA,108.80%,78.8,133,140
20,2023,Devon Dotson,PG,Jan 1 '21 CHI @ MIL,21,1,11,4.55,1.00,1.91,0.09,0.64,0.00,0.00,0.18,0.45,0.64,0.36,0.00,0.00,0.27,2.09,dotsode01,72.5,185.2,75,95,8.25,10,31.5,40.5,10.44,2.22,3.02,NA,103.40%,82.5,126.5,135.5
46,2019,Devonte' Graham,PG,Oct 22 '18 CHO @ TOR,23,1,46,14.70,1.61,4.70,0.74,2.63,0.76,1.00,0.22,1.37,2.63,0.50,0.04,0.65,1.04,4.72,grahade01,72.25,186.4,78.25,96,8.5,9.5,31,37,11.28,3.15,3.21,14,108.30%,80.8,127,133
49,2024,Dillon Jones,SF,Oct 24 '24 OKC @ DEN,23,1,54,10.22,0.94,2.46,0.30,1.17,0.31,0.52,0.56,2.24,1.07,0.30,0.07,0.52,1.00,2.50,jonesdi01,76.5,236.8,83,100.5,9,9.3,26.5,33.5,11.08,2.82,3.25,NA,108.50%,83.3,127,134
4,2022,Dominick Barlow,PF,Nov 2 '22 SAS vs. TOR,19,1,28,14.57,1.64,3.07,0.00,0.14,0.64,0.89,1.64,3.64,0.86,0.36,0.68,0.54,2.00,3.93,barlodo01,80.75,221,87,108.5,9,10.5,28.5,34,11.29,3.19,3.33,NA,107.70%,94.5,137,142.5
17,2021,Donovan Clingan,C,Oct 23 '24 POR vs. GSW,20,1,67,19.76,2.69,4.99,0.21,0.73,0.93,1.55,3.24,7.87,1.15,0.51,1.64,1.07,2.82,6.51,clingdo01,85.8,282,90.8,115,10,10,26,29,12.06,3,3,NA,105.80%,102.5,141,144
35,2018,Donte DiVincenzo,SG,Oct 17 '18 MIL @ CHO,22,1,27,15.22,1.85,4.59,0.81,3.07,0.33,0.44,0.59,2.41,1.15,0.48,0.22,0.70,1.41,4.85,divindo01,75.5,200.6,78,97.5,8.25,9,34.5,42,10.72,3.12,3.11,12,103.30%,74.3,132,139.5
92,2024,Drew Timme,C,Mar 28 '25 BRK vs. LAC,24,1,9,28.22,5.00,11.33,1.00,3.89,1.11,1.78,1.89,7.22,2.22,0.44,0.11,1.67,2.33,12.11,timmedr01,80.8,243.2,85.8,108.5,9,10,26,30.5,10.93,NA,3.34,NA,106.20%,90,134.5,139
115,2024,Duane Washington Jr.,SG,Oct 29 '21 IND @ BRK,21,1,48,20.17,3.60,8.90,1.69,4.48,0.96,1.27,0.08,1.73,1.77,0.54,0.06,1.19,1.38,9.85,washidu02,74.25,196.8,79.75,101,8.25,8.8,29.5,35.5,11.5,3.06,3.17,NA,107.40%,72.2,130.5,136.5
91,2019,Dylan Windler,SF,Dec 23 '20 CLE vs. CHO,24,1,31,16.55,1.84,4.19,0.84,2.48,0.68,0.87,0.65,3.45,1.06,0.61,0.39,1.03,1.19,5.19,windldy01,78.25,195.8,82,104.5,8.25,9.5,29,37.5,10.7,2.94,3.3,8,104.80%,78.4,133.5,142
18,2023,Dyson Daniels,SG,Oct 19 '22 NOP @ BRK,19,1,59,17.66,1.47,3.53,0.46,1.46,0.44,0.68,0.61,3.19,2.27,0.73,0.19,0.97,1.68,3.85,daniedy01,78,195.2,82.5,105,8.5,9.8,29,34,10.81,2.81,3.22,NA,105.80%,82.9,134,139
51,2018,E.J. Liddell,PF,Oct 28 '23 NOP vs. NYK,23,1,8,2.88,0.13,0.75,0.00,0.63,0.25,0.25,0.00,0.63,0.13,0.25,0.25,0.25,0.25,0.50,liddeej01,77.5,243,83.75,103.5,8.25,9.3,35.5,38,11.11,3.23,3.26,NA,108.10%,76.3,139,141.5
4,2023,Emoni Bates,SF,Oct 28 '23 CLE vs. IND,20,1,15,8.87,1.00,3.27,0.67,2.20,0.07,0.27,0.07,0.93,0.67,0.07,0.13,0.53,0.33,2.73,batesem01,80.3,179.2,81,105,8,8.3,27,33,12,NA,3,NA,100.90%,66,132,138
35,2021,Enrique Freeman,PF,Oct 23 '24 IND @ DET,24,1,22,8.23,0.73,1.68,0.05,0.45,0.59,0.86,0.50,1.36,0.41,0.14,0.14,0.27,0.95,2.09,freemen01,79.3,212,86,108,9,10,31,35,10.99,3,3,NA,108.50%,87.5,139,143
93,2020,Gary Trent Jr.,SG,Nov 4 '18 POR vs. MIN,20,1,15,7.40,1.07,3.33,0.33,1.40,0.20,0.47,0.07,0.73,0.33,0.07,0.13,0.27,0.27,2.67,trentga02,76.25,204.2,80.75,98,8.5,9.5,33.5,39.5,11.37,2.99,3.12,12,105.90%,80.8,131.5,137.5
