pos,best,average,value1,value2,value3,value4,value5,competitionId,eventId,roundTypeId,personName,personId,formatId,regionalSingleRecord,regionalAverageRecord,personCountryId
1,454,495,454,484,527,475,778,TwistFriesJohorBahru2024,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,449,525,575,500,-1,449,500,TwistFriesJohorBahru2024,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,456,537,666,531,536,456,545,HangzhouSpring2024,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,417,476,417,546,428,454,692,HangzhouSpring2024,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,400,527,492,583,400,573,517,HangzhouSpring2024,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,442,504,531,442,534,633,448,LuoyangSpring2024,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
2,483,571,606,662,553,483,553,LuoyangSpring2024,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
2,512,594,512,621,784,568,594,LuoyangSpring2024,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,413,476,487,616,474,468,413,XuzhouOpen2024,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
4,513,565,537,553,606,513,630,XuzhouOpen2024,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,465,537,465,588,473,549,-1,XuzhouOpen2024,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,419,520,563,597,522,419,476,ShenyangSpring2024,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,409,547,409,492,-1,506,642,ShenyangSpring2024,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,431,505,457,431,542,595,516,ShenyangSpring2024,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,410,496,410,613,520,448,519,KunshanOpen2024,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,385,484,486,496,469,712,385,KunshanOpen2024,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,366,491,681,555,494,366,423,KunshanOpen2024,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,488,520,492,734,492,488,576,ZiboOpen2024,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,418,506,526,469,522,694,418,ZiboOpen2024,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,400,491,477,400,512,726,485,ZiboOpen2024,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,467,514,596,852,470,467,477,SunwayVelocityMallOpen2024,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,463,502,524,463,510,701,473,SunwayVelocityMallOpen2024,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,440,516,545,440,457,547,625,SunwayVelocityMallOpen2024,333,3,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
