userAccuracy,opponentAccuracy,gameUrl,gameId,timeClass,fen,userColor,userRating,opponent,opponentRating,opponentUrl,result,wonBy,date,openingUrl,opening,startTime,endTime,outcome,moveCount
92.76,92.33,https://www.chess.com/game/live/751060300?ref_id=74104030,751060300,blitz,8/1KB5/6r1/8/2k5/8/8/8 w - -,black,2720,vovkcoach,2382,https://www.chess.com/member/vovkcoach,win,timeout,2014.03.13,https://www.chess.com/openings/Reti-Opening-Dutch-Variation-2.g3-g6-3.Bg2-Bg7,Reti Opening Dutch Variation 2.g3 g6 3.Bg2 Bg7,20:44:48,20:51:31,99,timeout
92.9,70.74,https://www.chess.com/game/live/750945468?ref_id=74104030,750945468,blitz,rnbqk2r/p3bp1p/1pp1p1pB/4P2n/3P2P1/3B1N1P/PPP2Q2/RN2K2R b KQkq g3,white,2653,UnPolarizing,2322,https://www.chess.com/member/UnPolarizing,win,resigned,2014.03.13,https://www.chess.com/openings/Pirc-Defense-2.d4-Nf6-3.Bd3,Pirc Defense 2.d4 Nf6 3.Bd3,18:19:01,18:20:13,12,resigned
94.8,81.08,https://www.chess.com/game/live/750973300?ref_id=74104030,750973300,blitz,r4q1k/pNpP2p1/Q6p/8/5r2/5N2/PPP2PPP/4R1K1 b - -,white,2686,UnPolarizing,2302,https://www.chess.com/member/UnPolarizing,win,resigned,2014.03.13,https://www.chess.com/openings/French-Defense-Exchange-Variation...4.Bd3-Bd6-5.Nf3-Nf6-6.O-O,French Defense Exchange Variation...4.Bd3 Bd6 5.Nf3 Nf6 6.O O,18:54:20,18:57:26,23,resigned
95.18,90.84,https://www.chess.com/game/live/750915048?ref_id=74104030,750915048,blitz,8/pRr2pk1/P1r1p3/3p3p/8/5NPP/1b3PK1/8 w - -,black,2628,smurfo,2390,https://www.chess.com/member/smurfo,win,resigned,2014.03.13,https://www.chess.com/openings/French-Defense-Advance-Paulsen-Milner-Barry-Gambit...7.cxd4-Bd7-8.O-O-Nxd4-9.Nbd2,French Defense Advance Paulsen Milner Barry Gambit...7.cxd4 Bd7 8.O O Nxd4 9.Nbd2,17:40:16,17:44:48,40,resigned
97.32,95.3,https://www.chess.com/game/live/750925442?ref_id=74104030,750925442,blitz,8/8/8/4K3/P4r2/4k3/8/8 w - -,black,2642,jacobiano,2411,https://www.chess.com/member/jacobiano,win,resigned,2014.03.13,https://www.chess.com/openings/French-Defense-Tarrasch-Closed-Main-Line...9.exf6-Qxf6-10.O-O-Bd6-11.Nf3,French Defense Tarrasch Closed Main Line...9.exf6 Qxf6 10.O O Bd6 11.Nf3,17:53:42,17:59:53,95,resigned
,,https://www.chess.com/game/live/750946525?ref_id=74104030,750946525,blitz,r3k2r/pp1nbR2/2p1p3/3p2P1/3PP1pN/1QP1q3/PP1N2P1/R5K1 w kq -,black,2657,UnPolarizing,2320,https://www.chess.com/member/UnPolarizing,win,resigned,2014.03.13,https://www.chess.com/openings/Queens-Pawn-Opening-Levitsky-Attack-2...c6,Queens Pawn Opening Levitsky Attack 2...c6,18:20:18,18:23:25,18,resigned
,,https://www.chess.com/game/live/750949056?ref_id=74104030,750949056,blitz,6rk/3bp3/1p1p1nqp/pNpP1p2/P1P2PP1/3B3P/3Q1B1K/6R1 w - -,white,2661,UnPolarizing,2318,https://www.chess.com/member/UnPolarizing,win,resigned,2014.03.13,https://www.chess.com/openings/Kings-Indian-Defense-Deferred-Fianchetto-Variation-5...O-O-6.Bg2-c5,Kings Indian Defense Deferred Fianchetto Variation 5...O O 6.Bg2 c5,18:23:31,18:28:22,33,resigned
,,https://www.chess.com/game/live/750958497?ref_id=74104030,750958497,blitz,2rr1k2/1q5p/2n1pp2/2pp1pP1/1p3n1P/1P1PRB2/P1P2P1K/4R3 w - -,black,2671,UnPolarizing,2312,https://www.chess.com/member/UnPolarizing,win,resigned,2014.03.13,https://www.chess.com/openings/Reti-Opening-Queens-Gambit-Invitation-2.b3,Reti Opening Queens Gambit Invitation 2.b3,18:35:32,18:40:38,39,resigned
,,https://www.chess.com/game/live/750966631?ref_id=74104030,750966631,blitz,5rk1/r1q2pbp/4b1p1/2p1p3/3pP3/1RpP1BPP/P1Q2P1K/1R2N3 w - -,black,2677,UnPolarizing,2308,https://www.chess.com/member/UnPolarizing,win,resigned,2014.03.13,https://www.chess.com/openings/Mieses-Opening,Mieses Opening,18:45:45,18:49:03,27,resigned
,,https://www.chess.com/game/live/750972499?ref_id=74104030,750972499,blitz,rnb1k1nr/pp2ppbp/3p2p1/2P5/4P3/3BB3/P1PNNPPP/q2QK2R w KQkq -,black,2683,UnPolarizing,2304,https://www.chess.com/member/UnPolarizing,win,resigned,2014.03.13,https://www.chess.com/openings/Modern-Defense-with-1-e4-2.d4-d6,Modern Defense with 1 e4 2.d4 d6,18:53:21,18:54:16,7,resigned
